   892138416737H  31050121211117132 0 003 02213311 01823000018236 3301272 00002 0 00003 0 0 0 03 0 0 0 024219887777722202223 11 0 00001000CA30 00 54230313513212
   904154394913N313102041111222633145 513 06211111 0162100001621126104291972201234121011698 0 03 0 0 0 00 00 001221721711122 1213 10001000CA10 00 48182311112212
   912132076937H267501012202222132159 713 04111001 01723000017231 330131113102128161023 0 0 0 01 4 198 02422 031121172212222 20 0 0112 622ZZ08 10 58230311311111
   924156488575N   2510411212218221291031 64220901 0200100002001118104281971032 0 000014598 0 03 0 0 0 00 00 001121272111123 11 0 00001000AR01 00 50272311113212
   934158228575N   2321421112221332 0 073 04111110 00000000000002 1204 02 00002 0 0000198 0 0 03 0 0 0 08 02 080111172112110 11 0 00001000CA80 00 53100313323212
   944152346513N  37100422022226332 0 013 00211002 4000015211521125104 02 0000128182403 0 0 0 00 0 0 0 00 00 007011101207272130 0 0128 582ZZ08 00 39150322311212
   952099418677N  33040422022226322 0 043 02120902 3000014231423125104360 00002 0 00000 0 0 0 0198 0 0 00 00 007772722172103 11 0 00001000CA80 00 65200023423212
   964159928581H  60170111122221332 0 013 03213212 5000014231423146302271122102 0 0000298 0 0 03 0 0 0 00 00 002722122112713 00 0 0128 671ZZ08 12 47131311310111
   977148881171H    500121121221132 0 013 02212002 40000500150011 3301312 00002 0 00001 32698 01 498 0 03 02 037111121122222 12 2 20001000CA10 10 12120321212111
   982132575637H  1835011112222633146 213 02216131 01823000018236 3301 0120240146312403 0 0 0 012398 0 02981 431721111211172 20 0 0122 711ZZ08 12 31222321211111
   996192638073N  3103141112122123147 873 03120902 30000192219222 1204242 00002 0 00001 32698 03 0 0 0 02 41 237177771277113 11 0 00001000CA20 00 66221312323212
  1002135946637N4024030411222225332 0 032173112001 0500300005003116104122 0000119361023 0 0 0 01 32698 00 00 007271121117123 11 0 00001000SD01 00 16111321213212
  1012137986637N  4615142202222033115 163 04212111 01523000015236 3301311242102 0 00001 398 0 01 498 0 02422 032177771212723 20 0 0122 682ZZ08 10 53150312311111
  1022133766837K6210020211122224232 0 013 07120901 0112300001123118104362 00002 0 00003 0 0 0 03 0 0 0 00 00 007172272111223 11 0 00001000DC02 00 54178312323212
  1032139355637N  2171041111222233115 131 63120901 01723000017232 1204122 00002 0 00003 0 0 0 03 0 0 0 01 01 327117771277713 11 0 00001000OH01 00 61141313523212
  1042136535637N  21671411322223331881131 67120901 012230000122338560432131210198988001 31498 01 198 0 01 01 112120107711223 11 0 00001000WV01 00 48271311113212
